PONDNew,POND1,POND2x,POND1_POP,POND2x_POP,Type_Logement,Type_Batiment,Mode_Occupation,Consommation_Elec_An,An_Construction,An_ConstructionCode,Source_Energie_Chauf,Territoire_HQ,Region_Administrative,Nombre_Pieces,Nombre_Etages,Superficie_Totale,Presence_SousSol,Nombre_Personnes,Presence_Garage,Chauffage_Logement,Nombre_Refrigerateur,Nombre_Logement,Climatisation,Spa_Presence,Spa_Logement,Spa_Saison,Spa_Utilisation_SaisonChaude,Spa_Utilisation_SaisonFroide,Piscine_Presence,Piscine_Type,Piscine_Minuterie,Piscine_Toile,Piscine_Chauffee,Piscine_ChaufType,Vehicule_Presence,Vehicule_BornePresence,ChaufEau_Presence,ChaufEau_ChaufType,ChaufEau_Type,Congelateur_Nombre,Refrigerateur_Nombre,LaveLinge_Type,SecheLinge_Presence,LaveVaisselle_Presence,Cuisiniere_Presence,Cuisiniere_Energie,Eclairage_LED,Vintage,Territoire,Typo,Source
,1.2692386,,474.08122,,Collective,Collective,Locataire,[5000 - 10000),,,Electricite,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,,1,8,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Electrique,Non definit,Aucun,1,Traditionnelle,Oui,Non,Oui,Electrique,0%,,0_Montreal,immeuble,elec
,1.2259681,,457.91898,,Collective,Collective,Locataire,[0 - 5000),[2000 - 2010),[1986 - 2013),,Laurentides,Laval,2,Un étage,,Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,,1,50,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Traditionnelle,Non,Non,Oui,Electrique,Plus de 50 %,1986-2012,1_Laurentides,immeuble,
2.263102129032258,1.1166472,,417.08583,,Collective,Collective,Locataire,[0 - 5000),,,Gaz naturel,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Système central à air chaud,1,28,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Plus de 50 %,1946-70,0_Montreal,immeuble,combustible
1.3887533119999997,1.1166472,,417.08583,,Duplex,Plex,Locataire,[5000 - 10000),[1960 - 1970),[1946 - 1971),Electricite,Montréal,Montréal,,Un étage,,Aucun Sous-sol ou vide sanitaire,5 et plus,Pas de Garage,,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,Aucun,1,Frontale,Oui,Non,Oui,Electrique,0%,1946-70,0_Montreal,duplex,elec
,1.1166472,,417.08583,,Collective,Collective,Locataire,[0 - 5000),,,,Montréal,Montréal,2,Un étage,[500 - 1000),Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,,1,NSP/NRP,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,Aucun,1,Aucun,Non,Non,Oui,Electrique,1 à 24 %,1971-85,0_Montreal,immeuble,
,1.1889668,,444.09839,,Collective,Collective,Locataire,,,,,Montréal,Montréal,3,Un étage,[500 - 1000),Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Système central à eau chaude,1,60,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Ne sait pas,1971-85,0_Montreal,immeuble,
,1.1933602,,445.73938,,Collective,Collective,Locataire,[0 - 5000),,,,Montréal,Montréal,4,Un étage,,Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,,1,NSP/NRP,Aucune,Non,Aucun,,Aucun,Aucun,Oui,,Non,Non,Non,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,Aucun,1,Aucun,Non,Non,Oui,Electrique,Ne sait pas,,0_Montreal,immeuble,
0.5072315000000001,0.2898086,,108.2482,,Maison individuelle,Maison,Proprietaire,[25000 - 30000),[1980 - 1990),[1971 - 1986),Bi-energie,Est et Nord du Québec,Côte-Nord,7,Deux étages,,Sous sol 6 pied,4,Pas de Garage,Système central à eau chaude,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,2,1,Traditionnelle,Oui,Non,Oui,Electrique,1 à 24 %,1971-85,3_Nord-Est,individuelle,bi-energie
1.0106712592592593,1.0227155,,382.00081,,Maison individuelle,Maison,Proprietaire,[15000 - 20000),< 1950,[1946 - 1971),Bi-energie,Laurentides,Laval,5,Deux étages,>= 5000,Sous-sol et vide sanitaire,1,Pas de Garage,Système central à air chaud,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,Aucun,1,Traditionnelle,Oui,Non,Oui,Electrique,Plus de 50 %,1946-70,1_Laurentides,individuelle,bi-energie
,1.1062451,,413.2005,,Collective,Collective,Locataire,[0 - 5000),,,Electricite,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,,1,20,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,Aucun,1,Aucun,Non,Non,Oui,Electrique,0%,,0_Montreal,immeuble,elec
0.6684118181818182,0.9421961,,351.92553,,Maison individuelle,Maison,Proprietaire,[30000 - 35000),< 1950,< 1946,Bi-energie,Richelieu,Centre-du-Québec,14,Deux étages,>= 5000,Sous sol 6 pied,3,Garage non chauffé,Système central à air chaud,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,1,1,Traditionnelle,Oui,Non,Oui,Electrique,25 à 50 %,pre-1945,4_Richelieu,individuelle,bi-energie
,1.1933602,,445.73938,,Collective,Collective,Locataire,[0 - 5000),,,,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Système central à eau chaude,1,60,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,1,1,Aucun,Non,Non,Oui,Electrique,0%,1971-85,0_Montreal,immeuble,
,1.0919299,,407.85354,,Collective,Collective,Locataire,,,,,Montréal,Montréal,4,Un étage,[2000 - 2500),Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,Système central à eau chaude,1,15,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,Aucun,1,Aucun,Non,Non,Oui,Electrique,0%,pre-1945,0_Montreal,immeuble,
,1.2213583,,456.19714,,Collective,Collective,Locataire,,,,,Montréal,Montréal,2,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,,1,17,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Gaz,0%,,0_Montreal,immeuble,
,1.1208494,,418.65542,,Triplex,Plex,Locataire,,,,,Montréal,Montréal,8,Un étage,,Aucun Sous-sol ou vide sanitaire,4,Pas de Garage,,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,Aucun,1,Frontale,Oui,Oui,Oui,Electrique,Ne sait pas,1946-70,0_Montreal,triplex,
,1.2213583,,456.19714,,Duplex,Plex,Locataire,,,,,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Frontale,Oui,Non,Oui,Electrique,25 à 50 %,,0_Montreal,duplex,
,1.2213583,,456.19714,,Collective,Collective,Locataire,,,,Electricite,Montréal,Montréal,2,Un étage,,Aucun Sous-sol ou vide sanitaire,3,Pas de Garage,,1,4,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Electrique,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Ne sait pas,,0_Montreal,immeuble,elec
0.55842,0.7832952,,292.57347,,Duplex,Plex,Proprietaire,[25000 - 30000),< 1950,< 1946,Bi-energie,Montmorency,Capitale-Nationale,7,Deux étages,[2500 - 3000),Aucun Sous-sol ou vide sanitaire,2,Garage non chauffé,Système central à air chaud,3 et plus,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,2,3,Frontale,Oui,Oui,Oui,Electrique,Plus de 50 %,pre-1945,2_Montmorency,duplex,bi-energie
,1.3071502,,488.2418,,Collective,Collective,Locataire,[15000 - 20000),[1960 - 1970),[1946 - 1971),,Montmorency,Saguenay-Lac-Saint-Jean,4,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Système central à eau chaude,1,6,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,41-59 gallons,Aucun,1,Traditionnelle,Oui,Non,Oui,Electrique,0%,1946-70,2_Montmorency,immeuble,
0.9030449142857143,0.741683,,277.03062,,Maison individuelle,Maison,Proprietaire,[0 - 5000),[2000 - 2010),[1986 - 2013),Bi-energie,Laurentides,Outaouais,9,Deux étages,[2000 - 2500),Sous sol 6 pied,1,Pas de Garage,Thermopompe et Système central à air chaud,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,22 gallons,1,1,Frontale,Oui,Oui,Oui,Electrique,Plus de 50 %,1986-2012,1_Laurentides,individuelle,bi-energie
1.1738803261802575,0.4738882,,177.00492,,Maison individuelle,Maison,Proprietaire,,[1950 - 1960),[1946 - 1971),Electricite,Richelieu,Montérégie,7,,,Sous sol 6 pied,2,Pas de Garage,,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,1,1,Traditionnelle,Oui,Non,Oui,Electrique,Plus de 50 %,1946-70,4_Richelieu,individuelle,elec
2.810714,1.1933602,,445.73938,,Collective,Collective,Locataire,[0 - 5000),< 1950,< 1946,Bi-energie,Montréal,Montréal,5,Un étage,,Aucun Sous-sol ou vide sanitaire,3,Pas de Garage,,2,8,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Gaz Naturel,Non definit,Aucun,2,Aucun,Non,Non,Oui,Gaz,0%,pre-1945,0_Montreal,immeuble,bi-energie
,1.2213583,,456.19714,,Collective,Collective,Locataire,,,,,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Système central à eau chaude,1,13,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Aucun,Aucun,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Ne sait pas,pre-1945,0_Montreal,immeuble,
,1.1889668,,444.09839,,Collective,Collective,Locataire,,[1990 - 2000),[1986 - 2013),,Montréal,Montréal,3,Un étage,[500 - 1000),Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,,1,100,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,25 à 50 %,1986-2012,0_Montreal,immeuble,
,1.2213583,,456.19714,,Collective,Collective,Locataire,,,,Electricite,Montréal,Montréal,5,Un étage,,Aucun Sous-sol ou vide sanitaire,5 et plus,Pas de Garage,,2,12,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,1,2,Traditionnelle,Oui,Oui,Oui,Electrique,Ne sait pas,,0_Montreal,immeuble,elec
,1.1933602,,445.73938,,Collective,Collective,Locataire,[0 - 5000),[1970 - 1980),[1971 - 1986),,Montréal,Montréal,2,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Système central à eau chaude,1,NSP/NRP,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Plus de 50 %,1971-85,0_Montreal,immeuble,
1.11684,0.8760973,,327.23655,,Maison individuelle,Maison,Proprietaire,[15000 - 20000),[1950 - 1960),[1946 - 1971),Bi-energie,Est et Nord du Québec,Bas-Saint-Laurent,5,,[500 - 1000),Sous sol 6 pied,2,Garage non chauffé,Système central à air chaud,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,Aucun,1,Traditionnelle,Oui,Non,Oui,Electrique,25 à 50 %,1946-70,3_Nord-Est,individuelle,bi-energie
